tissue,experiment,model,pearson,spearman
346,h3k27ac,GRT,0.802,0.397
346,h3k27ac,Borzoi,0.83,0.398
346,h3k27me3,GRT,0.341,0.234
346,h3k27me3,Borzoi,0.249,0.17
346,h3k36me3,GRT,0.651,0.327
346,h3k36me3,Borzoi,0.652,0.324
346,ctcf,GRT,0.761,0.251
346,ctcf,Borzoi,0.8,0.269
346,rna_total_plus,GRT,0.667,0.387
346,rna_total_plus,Borzoi,0.672,0.387
346,rna_total_minus,GRT,0.631,0.352
346,rna_total_minus,Borzoi,0.653,0.347
355,h3k4me3,GRT,0.807,0.282
355,h3k4me3,Borzoi,0.836,0.315
355,h3k27ac,GRT,0.719,0.508
355,h3k27ac,Borzoi,0.81,0.544
355,h3k36me3,GRT,0.311,0.265
355,h3k36me3,Borzoi,0.319,0.275
355,ctcf,GRT,0.541,0.223
355,ctcf,Borzoi,0.583,0.236
355,cage_plus,GRT,0.538,0.059
355,cage_plus,Borzoi,0.417,0.058
355,cage_minus,GRT,0.372,0.05
355,cage_minus,Borzoi,0.238,0.049
355,rna_total_plus,GRT,0.681,0.411
355,rna_total_plus,Borzoi,0.692,0.413
355,rna_total_minus,GRT,0.67,0.378
355,rna_total_minus,Borzoi,0.702,0.378
404,atac,GRT,0.813,0.385
404,atac,Borzoi,0.522,0.382
413,atac,GRT,0.818,0.448
413,atac,Borzoi,0.538,0.447
420,atac,GRT,0.844,0.617
420,atac,Borzoi,0.429,0.626
431,atac,GRT,0.776,0.411
431,atac,Borzoi,0.554,0.4
432,atac,GRT,0.856,0.82
432,atac,Borzoi,0.386,0.825
433,atac,GRT,0.711,0.261
433,atac,Borzoi,0.579,0.254
435,atac,GRT,0.848,0.476
435,atac,Borzoi,0.434,0.481
439,atac,GRT,0.747,0.334
439,atac,Borzoi,0.525,0.335
454,atac,GRT,0.732,0.342
454,atac,Borzoi,0.48,0.343
456,atac,GRT,0.756,0.272
456,atac,Borzoi,0.562,0.276
487,cage_plus,GRT,0.552,0.118
487,cage_plus,Borzoi,0.447,0.112
487,cage_minus,GRT,0.525,0.112
487,cage_minus,Borzoi,0.441,0.106
512,cage_plus,GRT,0.538,0.071
512,cage_plus,Borzoi,0.31,0.07
512,cage_minus,GRT,0.426,0.061
512,cage_minus,Borzoi,0.233,0.059
523,cage_plus,GRT,0.66,0.123
523,cage_plus,Borzoi,0.447,0.119
523,cage_minus,GRT,0.638,0.114
523,cage_minus,Borzoi,0.416,0.111
544,cage_plus,GRT,0.592,0.211
544,cage_plus,Borzoi,0.437,0.204
544,cage_minus,GRT,0.594,0.206
544,cage_minus,Borzoi,0.411,0.199
547,cage_plus,GRT,0.665,0.162
547,cage_plus,Borzoi,0.463,0.158
547,cage_minus,GRT,0.581,0.137
547,cage_minus,Borzoi,0.383,0.133
548,cage_plus,GRT,0.542,0.148
548,cage_plus,Borzoi,0.477,0.144
548,cage_minus,GRT,0.495,0.126
548,cage_minus,Borzoi,0.367,0.123
564,cage_plus,GRT,0.602,0.136
564,cage_plus,Borzoi,0.348,0.134
564,cage_minus,GRT,0.5,0.125
564,cage_minus,Borzoi,0.264,0.121
565,cage_plus,GRT,0.645,0.122
565,cage_plus,Borzoi,0.448,0.12
565,cage_minus,GRT,0.505,0.104
565,cage_minus,Borzoi,0.286,0.102
580,cage_plus,GRT,0.398,0.111
580,cage_plus,Borzoi,0.324,0.11
580,cage_minus,GRT,0.53,0.094
580,cage_minus,Borzoi,0.28,0.092
581,cage_plus,GRT,0.556,0.178
581,cage_plus,Borzoi,0.454,0.175
581,cage_minus,GRT,0.616,0.179
581,cage_minus,Borzoi,0.438,0.175
